"","IndMill","DepMill","GenXer","p","test"
"n","128.769","61.607","230.492","",""
"D1A (mean (sd))","  9.999 (12.981)"," 5.252 (4.391)","  7.898 (12.171)"," 0.001",""
"D1B (mean (sd))"," 22.938 (24.211)","14.160 (10.381)"," 18.506 (21.507)"," 0.003",""
"D1C (mean (sd))"," 16.569 (46.962)"," 3.993 (5.269)","  7.152 (14.561)"," 0.008",""
"walkscore (mean (sd))"," 62.955 (25.692)","51.490 (23.437)"," 57.395 (25.693)"," 0.018",""
"bikescore (mean (sd))"," 31.596 (39.225)","19.507 (30.105)"," 23.906 (34.677)"," 0.065",""
"TQ1 (mean (sd))","  7.028 (2.546)"," 6.436 (2.399)","  6.676 (2.393)"," 0.353",""
"modality_commutes (%)"," ","",""," 0.096",""
"   Monomodal driver"," 60.420 (52.851) ","31.301 (58.461) ","130.015 (67.741) ","",""
"   Multimodal driver"," 27.121 (23.723) "," 7.475 (13.961) "," 35.039 (18.256) ","",""
"   Multimodal non-driver"," 26.782 (23.426) ","14.766 (27.578) "," 26.876 (14.003) ","",""
"modality_leisure (%)"," ","",""," 0.053",""
"   Monomodal driver"," 56.935 (45.772) ","36.614 (60.119) ","138.656 (62.122) ","",""
"   Multimodal driver"," 49.159 (39.521) ","19.088 (31.341) "," 69.003 (30.916) ","",""
"   Multimodal non-driver"," 18.294 (14.707) "," 5.201 ( 8.540) "," 15.540 ( 6.962) ","",""
"modality_last (%)"," ","",""," 0.012",""
"   Mono car"," 64.486 (55.368) ","27.095 (50.606) ","141.715 (74.401) ","",""
"   Mono non-car"," 33.606 (28.854) ","15.818 (29.544) "," 29.199 (15.329) ","",""
"   Multimodal"," 18.376 (15.778) ","10.628 (19.850) "," 19.562 (10.270) ","",""
