,vars,m1,sd1,,m2,sd2,,m3,sd3,,b.p,1-2,1-3,2-3,
 1.00 , n , 689.54 , NA ,, 339.70 , NA ,, 945.77 , NA ,,,,,,
2,"Male1, 2, 3",50.4%,0.5,,52.5%,0.5,,53.6%,0.499,,0.516,,,,
3,Female,48.3%,0.5,,46.4%,0.499,,46.2%,0.499,,0.509,,,,
4,Transgender,0.9%,0.093,,0.0%,0,,0.0%,0,,0.682,,,,
5,Decline to answer,0.4%,0.065,,1.0%,0.102,,0.2%,0.047,,0.847,,,,
6,Presence of children,44.2%,0.497,,41.0%,0.493,,62.8%,0.484,,<0.001,,,,
7,Prefer not to answer,2.6%,0.16,,11.7%,0.322,,5.0%,0.217,,0.026,,,,
8,"Less than $20,000",12.5%,0.33,,5.0%,0.219,,4.1%,0.199,,0.001,,,,
9,"$20,001 to $40,000",22.3%,0.416,,19.7%,0.398,,12.2%,0.328,,0.002,,,,
10,"$40,001 to $60,000",15.8%,0.365,,15.0%,0.357,,12.3%,0.329,,0.169,,,,
11,"$60,001 to $80,000",12.4%,0.33,,17.0%,0.376,,13.6%,0.343,,0.268,,,,gender
12,"$80,001 to $100,000",9.3%,0.29,,7.6%,0.265,,11.2%,0.315,,0.203,,,,age
13,"$100,001 to $120,000",9.8%,0.297,,7.7%,0.267,,12.2%,0.327,,0.133,,,,race/ethnicity
14,"$120,000 to $140,000",6.8%,0.252,,4.2%,0.2,,6.7%,0.251,,0.248,,,,education
15,"$140,001 to $160,000",4.0%,0.196,,4.6%,0.21,,8.7%,0.282,,0.038,,,,HH size
16,"More than $160,000",4.7%,0.211,,7.6%,0.265,,14.0%,0.347,,<0.001,,,,Presence of children
17,Younger millennials(18-26),43.0%,0.495,,70.7%,0.456,,0.0%,0,,<0.001,,,,income 
18,Older millennials(27-34),57.0%,0.495,,29.3%,0.456,,0.0%,0,,<0.001,,,,
19,Younger Generation X(35-43),0.0%,0,,0.0%,0,,62.0%,0.486,, NA,,,,
20,Older Generation X(44-50),0.0%,0,,0.0%,0,,38.0%,0.486,, NA,,,,
21,Hispanic,40.4%,0.491,,45.8%,0.499,,27.4%,0.446,,<0.001,,,,
22,Asian/Pacific Islander,13.8%,0.345,,19.7%,0.398,,17.2%,0.378,,0.118,,,,
